frame,x,y,id
000000,1043.078,281.181,1
000000,292.723,266.960,3
000000,447.384,223.928,4
000000,627.889,284.214,2
000000,865.568,218.343,5
000001,1040.449,281.121,1
000001,292.668,266.945,3
000001,447.284,223.972,4
000001,627.864,284.201,2
000001,862.829,218.344,5
000002,1040.394,281.157,1
000002,289.916,267.000,3
000002,447.257,223.941,4
000002,627.847,284.175,2
000002,862.749,218.360,5
000003,1040.357,281.160,1
000003,292.645,266.975,3
000003,444.621,223.917,4
000003,627.807,284.182,2
000003,862.764,218.374,5
000004,1040.324,281.132,1
000004,292.658,267.022,3
000004,444.609,223.941,4
000004,627.783,284.178,2
000004,862.726,218.361,5
000005,1040.307,281.151,1
000005,292.637,269.767,3
000005,444.587,223.970,4
000005,627.792,284.217,2
000005,862.683,218.366,5
000006,1040.282,281.250,1
000006,292.634,272.596,3
000006,444.565,229.611,4
000006,627.802,284.231,2
000006,862.685,221.105,5
000007,1040.259,283.945,1
000007,292.662,275.475,3
000007,444.569,229.673,4
000007,627.782,286.929,2
000007,860.004,223.988,5
000008,1040.251,284.008,1
000008,292.660,275.487,3
000008,444.608,232.466,4
000008,627.802,287.026,2
000008,859.989,229.667,5
000009,1040.256,284.090,1
000009,292.715,278.305,3
000009,444.611,235.316,4
000009,627.815,289.787,2
000009,859.986,232.548,5
000010,1040.230,284.191,1
000010,292.674,278.334,3
000010,447.242,235.418,4
000010,627.860,287.102,2
000010,859.984,235.361,5
000011,1040.235,286.832,1
000011,292.675,278.344,3
000011,447.282,238.143,4
000011,627.869,289.807,2
000011,860.018,238.107,5
000012,1040.254,286.877,1
000012,292.677,278.350,3
000012,447.333,238.179,4
000012,627.933,289.818,2
000012,862.743,238.121,5
000013,1040.330,286.867,1
000013,292.722,278.317,3
000013,447.368,238.180,4
000013,630.576,289.832,2
000013,865.560,235.442,5
000014,1040.402,284.227,1
000014,295.505,278.284,3
000014,447.486,238.140,4
000014,630.591,289.785,2
000014,865.596,235.365,5
000015,1040.416,284.118,1
000015,295.572,275.476,3
000015,447.526,235.451,4
000015,630.655,287.069,2
000015,865.634,232.533,5
000016,1043.090,284.032,1
000016,301.329,269.730,3
000016,450.217,235.299,4
000016,630.696,286.998,2
000016,868.478,226.758,5
000017,1043.137,283.930,1
000017,304.109,266.882,3
000017,450.327,232.505,4
000017,630.763,286.918,2
000017,874.144,221.148,5
000018,1043.197,283.937,1
000018,304.166,266.887,3
000018,455.943,223.930,4
000018,630.804,284.209,2
000018,877.017,221.034,5
000019,1043.243,283.936,1
000019,306.935,266.899,3
000019,461.617,221.150,4
000019,630.836,284.197,2
000019,879.850,218.352,5
000020,1043.327,283.942,1
000020,306.993,266.954,3
000020,461.742,221.108,4
000020,633.560,286.816,2
000020,879.982,218.326,5
000021,1046.045,283.959,1
000021,307.117,267.018,3
000021,464.578,223.909,4
000021,633.641,284.158,2
000021,882.762,218.368,5
000022,1046.108,283.978,1
000022,309.837,269.757,3
000022,467.363,226.824,4
000022,636.486,284.227,2
000022,882.863,221.133,5
000023,1048.945,284.005,1
000023,309.914,275.530,3
000023,467.479,232.502,4
000023,642.181,286.913,2
000023,885.602,223.905,5
000024,1054.647,284.107,1
000024,312.747,281.117,3
000024,470.235,235.277,4
000024,647.784,287.022,2
000024,885.740,226.755,5
000025,1057.531,286.893,1
000025,315.549,281.269,3
000025,470.391,235.426,4
000025,647.919,289.843,2
000025,894.185,232.576,5
000026,1060.318,287.103,1
000026,315.678,284.001,3
000026,473.105,238.259,4
000026,647.938,289.926,2
000026,899.894,235.402,5
000027,1060.437,289.845,1
000027,321.281,284.084,3
000027,473.112,241.156,4
000027,650.618,292.718,2
000027,902.668,238.272,5
000028,1063.134,292.708,1
000028,324.156,286.871,3
000028,473.254,241.270,4
000028,650.687,298.464,2
000028,902.701,241.102,5
000029,1063.157,295.499,1
000029,324.225,286.968,3
000029,476.064,243.955,4
000029,650.734,301.245,2
000029,902.765,241.145,5
000030,1063.160,295.542,1
000030,326.939,286.890,3
000030,481.715,243.977,4
000030,650.781,301.288,2
000030,902.894,241.202,5
000031,1063.230,289.939,1
000031,326.992,284.149,3
000031,484.612,241.235,4
000031,650.777,301.237,2
000031,902.899,241.099,5
000032,1063.287,289.799,1
000032,327.058,284.016,3
000032,484.602,241.132,4
000032,650.810,295.574,2
000032,902.909,238.322,5
000033,1063.273,286.995,1
000033,327.000,281.264,3
000033,487.376,238.353,4
000033,650.810,289.909,2
000033,902.848,238.095,5
000034,1063.234,284.126,1
000034,326.974,281.177,3
000034,481.744,238.109,4
000034,650.754,289.831,2
000034,902.764,229.680,5
000035,1063.242,283.965,1
000035,321.303,275.529,3
000035,476.081,232.499,4
000035,650.709,286.948,2
000035,899.995,221.124,5
000036,1063.198,283.906,1
000036,315.585,269.806,3
000036,475.965,223.974,4
000036,650.646,284.133,2
000036,899.924,218.292,5
000037,1063.145,281.137,1
000037,312.839,266.890,3
000037,473.187,218.369,4
000037,650.620,284.054,2
000037,897.129,218.090,5
000038,1063.099,275.542,1
000038,312.750,264.122,3
000038,473.143,218.255,4
000038,647.883,284.036,2
000038,894.182,218.080,5
000039,1060.420,272.672,1
000039,310.005,263.990,3
000039,470.361,218.238,4
000039,645.028,284.032,2
000039,888.561,215.448,5
000040,1060.322,272.649,1
000040,309.909,263.976,3
000040,470.241,218.216,4
000040,639.355,284.044,2
000040,885.668,215.384,5
000041,1054.683,275.445,1
000041,309.817,264.031,3
000041,467.469,218.250,4
000041,639.274,284.065,2
000041,882.852,215.438,5
000042,1051.784,278.320,1
000042,307.092,264.010,3
000042,467.286,218.350,4
000042,636.400,284.089,2
000042,882.726,218.093,5
000043,1048.904,278.347,1
000043,306.976,264.101,3
000043,464.495,221.033,4
000043,633.573,284.112,2
000043,879.984,218.140,5
000044,1046.086,281.105,1
000044,304.182,264.177,3
000044,458.854,221.104,4
000044,630.853,284.154,2
000044,879.894,218.187,5
000045,1046.015,281.167,1
000045,304.064,264.202,3
000045,453.156,221.111,4
000045,630.776,284.159,2
000045,877.070,218.221,5
000046,1043.282,281.199,1
000046,301.291,266.904,3
000046,450.285,223.891,4
000046,630.703,284.194,2
000046,874.204,218.264,5
000047,1043.186,281.231,1
000047,301.237,266.914,3
000047,450.196,223.934,4
000047,630.660,284.192,2
000047,871.282,218.306,5
000048,1040.457,281.165,1
000048,295.550,264.183,3
000048,447.480,223.939,4
000048,627.958,284.169,2
000048,868.408,218.239,5
000049,1043.069,281.175,1
000049,292.751,266.917,3
000049,447.405,223.936,4
000049,627.920,284.200,2
000049,865.602,218.314,5
000050,1040.441,281.172,1
000050,292.651,266.963,3
000050,447.296,223.975,4
000050,627.873,284.178,2
000050,862.838,218.345,5
000051,1040.382,281.185,1
000051,289.931,266.995,3
000051,447.246,223.962,4
000051,627.857,284.165,2
000051,862.766,218.347,5
000052,1040.344,281.168,1
000052,292.659,266.957,3
000052,444.623,223.928,4
000052,627.817,284.164,2
000052,862.783,218.374,5
000053,1040.317,281.137,1
000053,292.673,269.724,3
000053,444.589,223.961,4
000053,627.807,284.160,2
000053,862.731,218.373,5
000054,1040.284,281.157,1
000054,292.649,269.794,3
000054,444.584,223.995,4
000054,627.799,284.193,2
000054,862.673,221.018,5
000055,1040.273,281.232,1
000055,289.943,272.610,3
000055,444.582,226.846,4
000055,627.792,284.219,2
000055,860.020,221.115,5
000056,1040.264,283.950,1
000056,292.661,275.453,3
000056,444.568,229.710,4
000056,627.786,286.908,2
000056,859.983,223.967,5
000057,1040.268,284.029,1
000057,292.648,275.489,3
000057,444.607,232.505,4
000057,627.806,286.997,2
000057,859.963,229.663,5
000058,1040.277,284.111,1
000058,292.730,278.304,3
000058,444.611,235.324,4
000058,627.846,289.775,2
000058,859.967,232.528,5
000059,1040.222,284.196,1
000059,292.692,278.329,3
000059,447.242,235.415,4
000059,627.871,289.765,2
000059,859.989,235.399,5
000060,1040.214,286.850,1
000060,292.679,278.330,3
000060,447.273,238.127,4
000060,627.869,289.809,2
000060,860.021,238.128,5
000061,1040.255,286.879,1
000061,292.656,278.343,3
000061,447.336,238.187,4
000061,627.930,289.856,2
000061,862.739,238.127,5
000062,1040.348,286.842,1
000062,292.706,278.318,3
000062,447.389,238.194,4
000062,627.967,289.855,2
000062,865.567,235.448,5
000063,1040.380,286.815,1
000063,292.765,278.293,3
000063,447.481,238.139,4
000063,630.602,289.768,2
000063,865.591,235.387,5
000064,1040.420,284.120,1
000064,295.585,275.484,3
000064,447.521,238.094,4
000064,630.663,287.065,2
000064,865.627,232.557,5
000065,1043.091,284.028,1
000065,304.038,266.995,3
000065,450.226,235.279,4
000065,630.717,286.992,2
000065,868.471,226.758,5
000066,1043.143,283.939,1
