frame,x,y,id
000000,306.858,378.751,1
000000,647.856,284.169,2
000000,897.126,286.835,3
000001,306.840,378.682,1
000001,645.056,284.104,2
000001,894.235,286.824,3
000002,306.849,378.715,1
000002,645.021,284.152,2
000002,888.523,286.848,3
000003,306.882,378.709,1
000003,639.346,286.819,2
000003,885.748,286.907,3
000004,306.870,378.745,1
000004,636.469,286.841,2
000004,885.677,286.952,3
000005,306.885,378.745,1
000005,636.388,286.934,2
000005,882.941,286.949,3
000006,306.844,378.742,1
000006,633.628,286.992,2
000006,882.894,286.971,3
000007,306.844,378.757,1
000007,630.836,287.033,2
000007,882.704,286.945,3
000008,304.140,378.770,1
000008,630.756,286.987,2
000008,882.664,286.981,3
000009,304.121,378.765,1
000009,630.601,286.936,2
000009,880.040,287.037,3
000010,304.185,378.759,1
000010,630.566,286.928,2
000010,879.999,287.066,3
000011,304.187,381.443,1
000011,630.569,286.951,2
000011,879.960,287.080,3
000012,304.152,378.744,1
000012,627.940,286.912,2
000012,879.919,287.032,3
000013,304.184,378.776,1
000013,627.877,286.917,2
000013,879.891,287.011,3
000014,306.842,378.754,1
000014,627.847,286.928,2
000014,879.879,287.025,3
000015,306.873,378.733,1
000015,627.832,286.945,2
000015,879.883,287.033,3
000016,306.855,378.709,1
000016,627.835,286.967,2
000016,879.877,287.000,3
000017,306.853,378.720,1
000017,627.838,286.921,2
000017,879.875,287.055,3
000018,304.197,378.729,1
000018,627.861,286.966,2
000018,879.904,289.773,3
000019,306.853,378.765,1
000019,627.849,286.994,2
000019,879.922,289.822,3
000020,306.844,378.767,1
000020,627.899,287.061,2
000020,879.983,289.883,3
000021,304.183,378.785,1
000021,627.889,289.828,2
000021,879.976,289.938,3
000022,304.180,381.440,1
000022,627.905,289.845,2
000022,880.010,289.878,3
000023,304.181,378.757,1
000023,627.923,289.894,2
000023,882.675,289.873,3
000024,304.192,378.745,1
000024,627.952,292.647,2
000024,882.734,287.118,3
000025,304.166,378.686,1
000025,630.607,289.884,2
000025,882.835,287.018,3
000026,304.150,378.739,1
000026,630.645,289.774,2
000026,882.835,286.947,3
000027,304.166,378.756,1
000027,630.705,287.086,2
000027,882.882,286.921,3
000028,306.842,378.749,1
000028,630.758,287.025,2
000028,882.953,286.914,3
000029,306.851,378.734,1
000029,630.855,286.944,2
000029,885.697,286.847,3
000030,306.858,378.773,1
000030,633.567,286.882,2
000030,888.501,286.868,3
000031,306.854,378.753,1
000031,633.628,286.819,2
000031,888.582,286.922,3
000032,306.847,381.428,1
000032,636.386,286.875,2
000032,894.237,287.028,3
000033,304.185,378.790,1
000033,636.480,286.981,2
000033,897.091,287.109,3
000034,304.187,381.452,1
000034,642.134,286.997,2
000034,899.937,289.876,3
000035,306.846,381.424,1
000035,644.988,289.779,2
000035,899.980,292.660,3
000036,306.848,381.431,1
000036,647.847,289.893,2
000036,900.010,298.372,3
000037,304.191,378.767,1
000037,650.601,295.547,2
000037,902.715,301.258,3
000038,306.838,378.787,1
000038,650.660,298.424,2
000038,902.746,301.314,3
000039,306.872,378.774,1
000039,650.719,301.237,2
000039,902.787,304.046,3
000040,306.889,378.744,1
000040,650.763,304.057,2
000040,902.838,304.014,3
000041,306.872,378.757,1
000041,650.780,304.063,2
000041,902.907,301.222,3
000042,304.190,378.738,1
000042,650.802,304.020,2
000042,902.846,295.577,3
000043,304.201,378.748,1
000043,650.812,301.204,2
000043,902.788,292.707,3
000044,304.153,378.761,1
000044,650.810,295.597,2
000044,902.783,289.836,3
000045,304.090,378.762,1
000045,650.777,289.904,2
000045,902.738,287.128,3
000046,304.155,378.727,1
000046,650.698,287.121,2
000046,902.689,287.012,3
000047,304.174,378.778,1
000047,650.638,287.006,2
000047,900.007,286.929,3
000048,304.131,378.698,1
000048,650.571,286.874,2
000048,899.952,286.870,3
000049,304.169,378.750,1
000049,647.870,284.213,2
000049,899.842,286.821,3
000050,306.834,378.730,1
000050,647.776,284.116,2
000050,894.213,286.836,3
000051,306.877,378.700,1
000051,645.000,284.165,2
000051,888.543,286.866,3
000052,306.858,378.701,1
000052,639.285,286.854,2
000052,888.467,286.901,3
000053,306.860,378.725,1
000053,636.458,286.866,2
000053,885.690,286.957,3
000054,304.193,378.747,1
000054,633.648,286.982,2
000054,885.587,286.973,3
000055,304.172,378.781,1
000055,633.581,287.024,2
000055,882.884,286.971,3
000056,304.182,378.789,1
000056,630.786,287.058,2
000056,882.773,286.998,3
000057,304.172,381.442,1
000057,630.728,287.019,2
000057,882.652,287.001,3
000058,304.146,381.464,1
000058,630.588,286.953,2
000058,880.029,287.024,3
000059,304.140,378.786,1
000059,627.964,286.944,2
000059,879.999,287.068,3
000060,304.174,378.740,1
000060,627.958,286.944,2
000060,879.929,287.055,3
000061,304.168,378.693,1
000061,627.926,286.938,2
000061,879.904,287.028,3
000062,304.146,378.735,1
000062,627.873,286.903,2
000062,879.897,286.998,3
000063,304.168,378.727,1
000063,627.849,286.903,2
000063,879.888,287.009,3
000064,304.191,378.744,1
000064,627.848,286.929,2
000064,879.886,287.002,3
000065,304.196,378.729,1
000065,627.843,286.958,2
000065,879.859,287.005,3
000066,306.855,378.780,1
000066,627.843,286.906,2
000066,879.865,287.043,3
000067,306.864,378.754,1
000067,627.870,286.950,2
000067,879.909,287.127,3
000068,306.860,378.778,1
000068,627.851,286.974,2
000068,879.923,289.823,3
000069,304.184,378.763,1
000069,627.912,287.048,2
000069,879.981,289.887,3
000070,304.195,381.454,1
000070,627.893,289.838,2
000070,879.984,289.939,3
000071,306.846,381.447,1
000071,627.909,289.863,2
000071,880.031,289.932,3
000072,306.849,378.785,1
000072,627.935,289.912,2
000072,882.678,289.874,3
000073,306.847,378.738,1
000073,627.952,292.661,2
000073,882.722,287.116,3
000074,306.853,378.763,1
000074,630.604,289.909,2
000074,882.819,287.012,3
000075,306.868,378.779,1
000075,630.647,289.823,2
000075,882.826,286.958,3
000076,306.880,378.753,1
000076,630.687,287.106,2
000076,882.861,286.907,3
000077,306.878,378.757,1
000077,630.749,287.013,2
000077,882.931,286.911,3
000078,304.185,378.726,1
000078,630.865,286.920,2
000078,885.675,286.861,3
000079,304.178,378.757,1
000079,633.553,286.870,2
000079,888.476,286.855,3
000080,304.125,378.777,1
000080,633.626,286.839,2
000080,888.581,286.938,3
000081,304.095,378.780,1
000081,636.408,286.901,2
000081,894.261,287.022,3
000082,304.160,378.730,1
000082,636.493,286.966,2
000082,897.121,287.118,3
000083,304.179,378.771,1
000083,642.130,286.989,2
000083,899.934,289.867,3
000084,304.140,378.719,1
000084,644.968,289.763,2
000084,899.983,292.660,3
000085,304.177,378.736,1
000085,647.877,289.885,2
000085,900.016,298.412,3
000086,304.200,378.711,1
000086,650.605,295.520,2
000086,902.714,301.254,3
000087,306.877,378.727,1
000087,650.678,298.447,2
000087,902.744,304.027,3
000088,306.872,378.697,1
000088,650.715,301.241,2
000088,902.792,304.051,3
